id,Frase,coref id,
,",\Z dibanding\VB",,
1200,"Rp\SYM 115,72\CD miliar\CD",,
,tahun\NN sebelum\SC,,
1201,nya\PRP,,
,.\Z,,
1202,Laporan\NN keuangan\NN konsolidasi\NN tahunan\NN perseroan\NN,,
,",\Z memperlihatkan\VB",,
1203,pertumbuhan\NN laba_bersih\NN,,
,yang\SC signifikan\JJ tersebut\PR didorong\VB oleh\IN,,
1204,penjualan\NN bersih\JJ perseroan\NN,,
,yang\SC meningkat\VB dari\IN,,
1205,"Rp\SYM 883,31\CD miliar\CD",,
,pada\IN,,
1206,tahun\NN 2005\CD,,
,menjadi\VB,,
1207,"Rp\SYM 1,18\CD triliun\CD",,
,pada\IN,,
1208,tahun\NN 2006\CD,,
,.\Z,,
1209,Keberhasilan\NN perseroan\NN,,
,mengendalikan\VB,,
1210,biaya\NN operasional\JJ,,
,melalui\IN,,
1211,efisiensi\NN,,
,membuahkan\VB hasil\NN laba\NN usaha\NN,,
1212,nya\PRP,,
,bertambah\VB dari\IN,,
1213,"Rp\SYM 227,88\CD miliar\CD",,
,pada\IN,,
1214,tahun\NN 2005\CD,,
,menjadi\VB,,
1215,"Rp\SYM 292,16\CD miliar\CD",,
,pada\IN,,
1216,tahun\NN 2006\CD,,
,dan\CC,,
1217,laba_bersih\NN,,
,per\IN,,
1218,saham\NN,,
1219,EPS\FW,,
1220,Earning\FW,,
,Per\IN,,
1221,Share\FW,,
1222,perseroan\NN,,
1223,Rp\SYM 50\CD,,
,menjadi\VB,,
1224,Rp\SYM 74\CD,,
,.\Z,,
,Menurut\IN,,
1225,dia\PRP,,
,",\Z keputusan\NN untuk\SC membayarkan\VB",,
1226,dividen\NN luar_biasa\JJ,,
,"0,475\CD",,
1227,dollar\FW,,
,AS\NNP per\IN,,
1228,lembar\NND saham\NN,,
,ditetapkan\VB setelah\SC mempertimbangkan\VB,,
1229,kinerja\NN keuangan\NN Perseroan\NN,,
1230,tahun\NN 2006\CD,,
1231,kondisi\NN keuangan\NN,,
1232,saat\NN ini\PR,,
1233,Ia\PRP,,
,"mengatakan\VB ,\Z",,
1234,pemegang_saham\NN Indonesia\NNP,,
,akan\MD menerima\VB,,
1235,dividen\NN,,
,dalam\IN,,
1236,rupiah\NN,,
,yang\SC nilai\NN,,
1237,nya\PRP,,
1238,setara\NN,,
1239,dollar\FW,,
,AS\NNP berdasarkan\VB,,
1240,kurs\NN tengah\NN,,
,yang\SC ditetapkan\VB oleh\IN,,
1241,Bank\NNP Indonesia\NNP,,
,pada\IN,,
1242,tanggal\NN 27\CD April\NNP 2007\CD,,
,.\Z,,
1243,Pemegang\NN saham\NN asing\JJ,,
,akan\MD menerima\VB,,
1244,dividen\NN,,
,dalam\IN,,
1245,dolar\NN AS\NNP,,
,",\Z ujar\VB",,
1246,nya\PRP,,
,.\Z,,
,Sementara\SC,,
1247,itu\PR,,
,",\Z ujar\VB",,
1248,dia\PRP,,
,",\Z",,
1249,dividen\NN interim\NN,,
,untuk\IN,,
1250,tahun\NN 2006\CD,,
1251,"sebesar\JJ 0,025\CD dolar\NN AS\NNP",,
1252,lembar\NND saham\NN,,
,telah\MD dibayarkan\VB sebelum\SC,,
1253,nya\PRP,,
,pada\IN,,
1254,tanggal\NN lima\CD Desember\NNP 2006\CD,,
,",\Z sehingga\SC secara\IN",,
1255,keseluruhan\NN,,
,dividen\NN,,
1256,tahun\NN 2006\CD,,
1257,"sebesar\JJ 0,525\CD dolar\NN AS\NNP",,
1258,lembar\NND saham\NN,,
,.\Z,,
1259,Jumlah\NN yang\SC sama\JJ,,
1260,"sebesar\JJ 0,11\CD dolar\NN AS\NNP",,
1261,lembar\NND saham\NN,,
,telah\MD dibayarkan\VB untuk\IN,,
1262,tahun\NN 2005\CD,,
,",\Z kata\VB",,
1263,dia\PRP,,
,.\Z,,
,Dalam\IN,,
1264,RUPS\NN tersebut\PR,,
1265,pemegang_saham\NN,,
1266,Rozik\NNP B\NNP Soetjipto\NNP,,
,sebagai\IN,,
1267,Komisaris\NN Independen\JJ,,
,untuk\IN,,
1268,periode\NN,,
,sampai\IN penutupan\NN,,
1269,RUPS\NN tahunan\NN 2008\CD,,
,.\Z,,
1270,Rozik\NNP B\NNP Soetjipto\NNP,,
,menggantikan\VB,,
1271,Soetaryo\NNP Sigit\NNP,,
,",\Z yang\SC efektif\JJ pensiun\VB dari\IN",,
1272,perseroan\NN,,
,pada\IN,,
1273,penutupan\NN rapat\NN tersebut\PR,,
,",\Z ujar\VB",,
1274,nya\PRP,,
,.\Z,,
,Selain\IN,,
1275,itu\PR,,
,",\Z ucap\VB",,
1276,nya\PRP,,
1277,pemegang_saham\NN,,
1278,Eddie\NNP A\NNP Arsyad\NNP,,
,",\Z",,
1279,Ciho\NNP D\NNP Bangun\NNP,,
,dan\CC,,
1280,Dirk\NNP Theuninck\NNP,,
,sebagai\IN,,
1281,Direktur-Direktur\NN Perseroan\NN,,
,yang\SC akan\MD bekerja\VB sampai\IN penutupan\NN,,
1282,RUPS\NN tahunan\NN 2009\CD,,
,.\Z,,
1283,Ia\PRP,,
,"menambahkan\VB ,\Z kantor\NN",,
1284,Akuntan\NNP Publik\NNP Haryanto\NNP Sahari\NNP,,
,dan\CC,,
1285,Rekan\NN,,
,#NAME?,,
1286,PricewaterhouseCoopers\NNP,,
,telah\MD ditunjuk\VB kembali\RB sebagai\IN akuntan_publik\NN untuk\SC mengaudit\VB,,
1287,buku-buku\NN perseroan\NN,,
,sampai\SC,,
1288,tahun\NN,,
,berakhir\VB,,
1289,tanggal\NN 31\CD Desember\NNP 2007\CD,,
,.\Z,,
1290,Bank\NNP Central\NNP Asia\NNP,,
1291,BCA\NNP,,
1292,sebesar\JJ Rp\SYM 10\CD triliun\CD,,
,pada\IN,,
1293,tahun\NN 2007\CD,,
,.\Z,,
1294,Kita\PRP,,
,anggarkan\VB,,
1295,Rp\SYM 4\CD triliun\CD,,
,untuk\IN,,
1296,korporasi\NN,,
,",\Z kata\VB",,
1297,Wakil\NNP Presiden\NNP BCA\NNP,,
1298,Jahja\NNP Setiaatmadja\NNP,,
1299,Jakarta\NNP,,
,",\Z baru-baru_ini\RB .\Z",,
,Penyaluran\NN kredit\NN,,
1300,Rp\SYM 10\CD triliun\CD,,
,tersebut\PR menurut\IN,,
1301,Jahja\NNP,,
,akan\MD dianggarkan\VB dari\IN penarikan\NN,,
1302,Surat\NNP Bank\NNP Indonesia\NNP,,
1303,SBI\NNP,,
1304,Kredit\NN BCA\NNP,,
1305,tahun\NN 2006\CD,,
1306,"sebesar\JJ 13,5\CD persen\CD",,
,menjadi\VB,,
1307,"Rp\SYM 61,4\CD triliun\CD",,
,dengan\SC,,
1308,Kredit\NN Korporasi\NN,,
,tumbuh\VB,,
1309,"19,0\CD persen\CD",,
1310,YoY\FW,,
1311,"Rp\SYM 23,9\CD triliun\CD",,
,.\Z,,
,Sedangkan\CC kredit\NN Komersial\JJ dan\CC,,
1312,Usaha\NN Kecil\JJ dan\CC Menengah\JJ,,
1313,UKM\NN,,
1314,"16,1\CD persen\CD",,
,menjadi\VB,,
1315,"Rp\SYM 29,2\CD triliun\CD",,
,dan\CC,,
1316,Kredit\NN Konsumer\NN,,
,turun\VB,,
1317,"4,9\CD persen\CD",,
,menjadi\VB,,
1318,"Rp\SYM 8,5\CD triliun\CD",,
,terutama\JJ disebabkan\VB oleh\IN penurunan\NN Kredit\NN Kendaraan\NN Bermotor\VB yang\SC turun\VB,,
1319,"40,9\CD persen\CD",,
,menjadi\VB,,
1320,"Rp\SYM 2,5\CD triliun\CD",,
,.\Z,,
1321,KPR\NN,,
,tumbuh\VB,,
1322,"23,9\CD persen\CD",,
,menjadi\VB,,
1323,"Rp\SYM 4,4\CD triliun\CD",,
,dan\CC,,
1324,Kartu\NN Kredit\NN,,
,tumbuh\VB,,
1325,"34,3\CD %\SYM",,
,menjadi\VB,,
1326,"Rp\SYM 1,6\CD triliun\CD",,
,.\Z,,
,Pada\IN,,
1327,31\CD Desember\NNP 2006\CD,,
,",\Z porsi\NN kredit\NN Komersial\JJ dan\CC",,
1328,UKM\NN,,
,mencapai\VB,,
1329,"47,4\CD persen\CD",,
,dari\IN,,
1330,total\NN kredit\NN,,
,",\Z sementara\SC",,
1331,kredit\NN Korporasi\NN,,
,berkontribusi\VB,,
1332,"38,8\CD persen\CD",,
,dan\CC,,
1333,kredit\NN Konsumer\NN,,
1334,"13,8\CD persen\CD",,
,Sementara\SC,,
1335,itu\PR,,
,",\Z",,
1336,saat\NN ini\PR,,
1337,BCA\NNP dan\CC Mandiri\NNP,,
1338,kredit\NN,,
,bagi\IN investasi\NN jalan_tol\NN,,
1339,Jagorawi\NNP -\Z Cinere\NNP,,
,.\Z,,
,Dalam\IN sindikasi\NN yang\SC akan\MD mengucurkan\VB dana\NN,,
1340,"Rp\SYM 1,461\CD triliun\CD",,
,"tersebut\PR ,\Z",,
1341,BCA\NNP,,
,menyalurkan\VB kredit\NN,,
1342,sebesar\JJ Rp\SYM 584\CD miliar\CD,,
,.\Z,,
1343,Penanaman_modal_asing\NN,,
1344,PMA\NN,,
1345,Malaysia\NNP,,
1346,tahun\NN 2006\CD,,
1347,lima\CD kali\NN,,
,lebih\RB besar\JJ dibandingkan\VB,,
1348,Indonesia\NNP,,
,",\Z",,
1349,hal\NN ini\PR,,
,menunjukkan\VB,,
1350,pembangunan_ekonomi\NN Malaysia\NNP,,
,jauh\JJ lebih\RB menarik\VB dibandingkan\VB,,
1351,Indonesia\NNP,,
,bagi\IN,,
1352,investor\NN asing\JJ,,
,.\Z,,
,Menurut\IN,,
1353,harian\NNP Utusan\NNP Malaysia\NNP,,
,",\Z",,
1354,Rabu\NNP,,
,",\Z di\IN",,
1355,Kuala\NNP Lumpur\NNP,,
,",\Z PMA\NN yang\SC masuk\VB ke\IN",,
1356,Malaysia\NNP,,
,mencapai\VB,,
1357,"20,2\CD miliar\CD ringgit\NN Malaysia\NNP",,
1358,"5,6\CD miliar\CD dolar\NN AS\NNP",,
1359,Indonesia\NNP,,
,yang\SC hanya\RB mencapai\VB,,
1360,"4,7\CD miliar\CD ringgit\NN Malaysia\NNP",,
1361,"1,3\CD miliar\CD dolar\NN AS\NNP",,
,Juru_bicara\NN,,
1362,parlemen\NN Malaysia\NNP,,
,bidang\NN,,
1363,perdagangan\NN dan\CC industri\NN,,
1364,luar_negeri\NN,,
1365,Dr\NNP Tan\NNP Yee\NNP Kew\NNP,,
,mengemukakan\VB dalam\IN,,
1366,sidang\NN parlemen\NN,,
,",\Z",,
1367,Malaysia\NNP,,
,menduduki\VB,,
1368,urutan\NN ke-2\OD,,
,setelah\SC,,
1369,Singapura\NNP,,
,di\IN,,
1370,kalangan\NN Asean\NNP,,
,dari\IN,,
1371,segi\NN masuknya\NN PMA\NN,,
,.\Z,,
1372,Singapura\NNP,,
1373,sendiri\NN,,
1374,PMA\NN tahun\NN 2006\CD,,
1375,sebesar\JJ 30\CD miliar\CD ringgit\NN,,
1376,"8,3\CD miliar\CD dolar\NN AS\NNP",,
,.\Z,,
,Sementara\SC,,
1377,itu\PR,,
,",\Z",,
1378,posisi\NN ketiga\OD,,
,adalah\VB,,
1379,Thailand\NNP,,
1380,"sebesar\JJ 11,4\CD miliar\CD ringgit\NN",,
1381,"3,16\CD miliar\CD dolar\NN AS\NNP",,
,dan\CC,,
1382,Indonesia\NNP,,
,berada\VB di\IN,,
1383,urutan\NN ke-4\OD,,
,dengan\IN nilai\NN,,
1384,"4,7\CD miliar\CD ringgit\NN",,
,.\Z,,
,Jadi\SC tidak\NEG benar\JJ,,
1385,PMA\NN,,
,ke\IN,,
1386,Malaysia\NNP,,
,"semakin\RB memburuk\VB ,\Z kata\VB",,
1387,Tan\NNP Yee\NNP Kew\NNP,,
,menanggapi\VB pernyataan\NN,,
1388,Tan\NNP Lian\NNP Hoe\NNP,,
,",\Z pimpinan\NN",,
1389,Barisan\NNP Nasional\NNP Bukit\NNP Gantang\NNP,,
,",\Z yang\SC menyatakan\VB bahwa\SC",,
1390,PMA\NN Malaysia\NNP,,
,semakin\RB memburuk\VB dibandingkan\VB tetangga\NN,,
1391,nya\PRP,,
,di\IN,,
1392,Asean\NNP,,
,.\Z,,
1393,Ia\PRP,,
,"mengemukakan\VB pula\RB ,\Z",,
1394,sepuluh\CD,,
1395,negara\NN investor\NN utama\JJ,,
1396,Malaysia\NNP,,
,dalam\IN,,
1397,periode\NN 2005\CD hingga\IN 2006\CD,,
,",\Z ialah\VB",,
1398,Jepang\NNP,,
,dengan\IN PMA\NN,,
1399,sebanyak\CD 8.1\CD miliar\CD Ringgit\NN,,
,",\Z",,
1400,Amerika\NNP,,
1401,"7,6\CD miliar\CD Ringgit\NN",,
1402,Belanda\NNP,,
1403,5\CD miliar\CD,,
1404,Singapura\NNP,,
1405,4.9\CD miliar\CD Ringgit\NN,,
1406,Australia\NNP,,
1407,"2,7\CD miliar\CD Ringgit\NN",,
1408,Korea\NNP,,
1409,1.1\CD miliar\CD Ringgit\NN,,
1410,Cayman\NNP Islands\NNP,,
1411,1\CD miliar\CD,,
1412,Taiwan\NNP,,
1413,0.8\CD miliar\CD Ringgit\NN,,
1414,Inggris\NNP,,
1415,"0,7\CD miliar\CD Ringgit\NN",,
1416,Produksi\NN sawit\NN,,
1417,PT\NNP Astra\NNP Agro\NNP Lestari\NNP,,
1418,AALI\NNP,,
,pada\IN,,
1419,kuartal\NN pertama\OD 2007\CD,,
,turun\VB,,
1420,"8,3\CD persen\CD",,
,dibandingkan\VB,,
1421,periode\NN sama\JJ,,
,sebelum\SC,,
1422,nya\PRP,,
,.\Z,,
1423,Produksi\NN sawit\NN,,
,dalam\IN,,
1424,TBS\NN,,
1425,tandan\NN buah\NN segar\JJ,,
1426,kuartal\NN I\OD 2007\CD,,
1427,sebesar\JJ 808.475\CD ton\NND,,
1428,"8,3\CD persen\CD",,
,.\Z,,
1429,Penurunan\NN produksi\NN ini\PR,,
,akibat\NN,,
1430,dampak\NN musim_kering\NN,,
,yang\SC terjadi\VB pada\IN,,
1431,semester\NN II\OD 2006\CD,,
,",\Z dan\CC dampak\NN",,
1432,nya\PRP,,
,masih\MD dirasakan\VB pada\IN,,
1433,kuartal\NN pertama\OD 2007\CD,,
,",\Z kata\VB",,
1434,Direktur\NNP AALI\NNP,,
,",\Z",,
1435,Julie\NNP Syaftari\NNP,,
,kepada\IN,,
1436,BEJ\NNP,,
,",\Z",,
1437,Kamis\NNP,,
,.\Z,,
1438,Dia\PRP,,
,mengatakan\VB,,
1439,penurunan\NN produksi\NN ini\PR,,
,terjadi\VB di\IN,,
1440,beberapa\CD perkebunan\NN perseroan\NN,,
,yang\SC tersebar\VB di\IN,,
1441,beberapa\CD wilayah\NN Indonesia\NNP,,
,.\Z,,
,Sementara\CC untuk\IN,,
1442,wilayah\NN Sulawesi\NNP,,
,masih\MD memberikan\VB,,
1443,peningkatan\NN produksi\NN,,
1444,"sebesar\JJ 14,2\CD persen\CD",,
1445,Penurunan\NN produksi\NN sawit\NN,,
,berakibat\VB pula\RB pada\IN penurunan\NN produksi\NN,,
1446,minyak\NN sawit\NN mentah\JJ,,
1447,CPO\FW,,
1448,AALI\NNP,,
1449,sebesar\JJ 10\CD persen\CD,,
1450,223\CD ton\NND,,
,pada\IN,,
1451,kuartal\NN I\OD 2006\CD,,
,menjadi\VB,,
1452,200.662\CD ton\NND,,
,pada\IN,,
1453,kuartal\NN I\OD 2007\CD,,
,",\Z kata\VB",,
1454,nya\PRP,,
,.\Z,,
1455,Lembaga\NNP Penjamin\NNP Simpanan\NNP,,
1456,LPS\NNP,,
1457,suku\NN bunga\NN penjaminan\NN,,
,LPS\NNP,,
1458,rate\FW,,
,untuk\IN periode\NN,,
1459,15\CD April\NNP,,
,#NAME?,,
1460,14\CD Mei\NNP,,
,2007\CD sebesar\JJ 25\CD,,
1461,basis\NND poin\NND,,
1462,bps\NND,,
1463,"9,00\CD persen\CD",,
,untuk\IN,,
1464,simpanan\NN,,
,di\IN,,
1465,bank_umum\NN,,
,",\Z dan\CC",,
1466,"12,75\CD persen\CD",,
,di\IN,,
1467,Bank\NN Perkreditan\NN Rakyat\NN,,
1468,BPR\NN,,
1469,Makro\NN ekonomi\NN,,
,"membaik\VB ,\Z sedangkan\CC",,
1470,inflasi\NN dan\CC nilai_tukar\NN,,
,"terus\RB stabil\JJ ,\Z kata\VB",,
1471,Kepala\NN Eksekutif\NN,,
,"LPS\NNP ,\Z",,
1472,Krisna\NNP Wijaya\NNP,,
,di\IN,,
1473,Jakarta\NNP,,
,",\Z",,
1474,Kamis\NNP,,
,.\Z,,
1475,Dia\PRP,,
,"juga\RB mengatakan\VB ,\Z meski\SC pada\IN",,
1476,22\CD Maret\NNP,,
1477,LPS\NNP,,
1478,batas\NN simpanan\NN,,
,yang\SC dijamin\VB,,
1479,sebesar\JJ Rp\SYM 100\CD juta\CD,,
,",\Z",,
1480,tingkat\NN kepercayaan\NN,,
1481,level\FW of\FW confidence\FW,,
1482,masyarakat\NN,,
,terhadap\IN,,
1483,perbankan\NN,,
,masih\MD tetap\RB tinggi\JJ .\Z,,
,Sementara\SC,,
1484,itu\PR,,
,",\Z",,
1485,suku\NN bunga\NN penjaminan\NN,,
,untuk\IN,,
1486,simpanan\NN,,
,dalam\IN bentuk\NN,,
1487,dolar\NN AS\NNP,,
,tetap\RB dipertahankan\VB pada\IN level\NN,,
1488,"4,75\CD persen\CD",,
,Dengan\IN,,
1489,langkah\NN penurunan\NN ini\PR,,
,",\Z maka\SC",,
1490,suku\NN bunga\NN penjaminan\NN,,
,LPS\NNP,,
1491,rate\FW,,
,dan\CC,,
1492,suku\NN bunga\NN,,
,BI\NNP BI\NNP,,
1493,rate\FW,,
,kembali\VB pada\IN,,
1494,posisi\NN yang\SC sama\JJ,,
,",\Z yaitu\SC",,
1495,9\CD persen\CD,,
,",\Z setelah\SC pada\IN",,
1496,awal\NN pekan\NN lalu\VB,,
,",\Z",,
1497,Rapat\NN Dewan\NN Gubernur\NN,,
1498,RDG\NN,,
1499,rate\FW,,
,pada\IN,,
1500,level\NN itu\PR,,
,.\Z,,
1501,Lembaga\NN pemeringkat\NN internasional\JJ,,
1502,Fitch\NNP Ratings\NNP,,
1503,Kamis\NNP,,
,",\Z memberikan\VB",,
1504,peringkat\NN jangka_panjang\NN nasional\JJ,,
1505,'\Z AA\SYM -\Z idn\SYM '\Z,,
1506,AA\SYM minus\JJ /\Z idn\SYM,,
,untuk\IN,,
1507,PT\NNP Bank\NNP Pan\NNP Indonesia\NNP Tbk\NNP,,
1508,Panin\NNP,,
1509,Indonesia\NNP,,
,.\Z,,
1510,Fitch\NNP,,
,dalam\IN siaran_pers\NN,,
1511,nya\PRP,,
,yang\SC diterima\VB,,
1512,ANTARA\NNP,,
,di\IN,,
1513,Jakarta\NNP,,
,",\Z",,
1514,Kamis\NNP,,
,juga\RB menaikkan\VB,,
1515,peringkat\NN dukungan\NN,,
1516,Support\FW Rating\FW,,
1517,'\Z 4\CD '\Z,,
,dari\IN,,
1518,'\Z 5\CD '\Z,,
,dan\CC menegaskan\VB kembali\RB,,
1519,peringkat\NN individu\NN,,
1520,Individual\FW Rating\FW,,
1521,Panin\NNP,,
,di\IN,,
1522,'\Z C\SYM /\Z D\SYM '\Z,,
,.\Z,,
1523,Fitch\NNP,,
,juga\RB memberikan\VB,,
1524,peringkat\NN ekspektasi\NN,,
1525,'\Z AA\SYM -\Z idn\SYM '\Z,,
1526,AA\SYM minus\JJ /\Z idn\SYM,,
,untuk\IN obligasi\NN,,
1527,"senilai\NN Rp\SYM 1,5\CD triliun\CD",,
1528,Obligasi\NNP II\NNP /\NNP 2007\NNP,,
1529,perusahaan\NN,,
,dalam\IN tiga\CD seri\NN,,
1530,tranches\FW,,
,yang\SC mempunyai\VB,,
1531,jangka\NN waktu\NN,,
,jatuh_tempo\VB,,
1532,"tiga\CD ,\Z lima\CD ,\Z dan\CC tujuh\CD tahun\NN",,
,dengan\SC,,
1533,prospek\NN,,
,dari\IN peringkat-peringkat\NN yang\SC diberikan\VB adalah\VB stabil\JJ .\Z,,
1534,Fitch\NNP,,
,menyatakan\VB,,
1535,peringkat-peringkat\NN tersebut\PR,,
,mencerminkan\VB,,
1536,posisi\NN permodalan\NN bank\NN,,
,"yang\SC kuat\JJ ,\Z kredit\NN bermasalah\VB yang\SC walaupun\SC tinggi\JJ bisa\MD diimbangi\VB dengan\IN",,
1537,pencadangan\NN yang\SC cukup\JJ,,
,",\Z profitabilitas\NN yang\SC secara\IN umum\JJ baik\JJ ,\Z dan\CC juga\RB merefleksikan\VB",,
1538,dukungan\NN,,
,dari\IN,,
1539,pemerintah\NN,,
,",\Z serta\CC",,
1540,Australia\NNP and\NNP New\NNP Zealand\NNP,,
1541,ANZ\NNP,,
1542,Banking\NNP Group\NNP,,
,walaupun\SC mungkin\MD terbatas\JJ .\Z,,
1543,Panin\NNP,,
,adalah\VB,,
1544,bank\NN kedelapan\OD terbesar\JJ,,
,di\IN,,
1545,Indonesia\NNP,,
1546,"2,4\CD persen\CD",,
1547,total\NN aset\NN perbankan\NN,,
,dan\CC,,
1548,ANZ\NNP,,
,memiliki\VB,,
1549,kepemilikan\NN minoritas\NN,,
,di\IN,,
1550,bank\NN tersebut\PR,,
,.\Z,,
1551,Fitch\NNP,,
,mengatakan\VB,,
1552,sejalan\NN,,
,dengan\IN,,
1553,pertumbuhan\NN yang\SC signifikan\JJ,,
,di\IN,,
1554,pembiayaan\NN komersial\JJ,,
,"yang\SC berbunga\VB lebih\RB tinggi\JJ ,\Z tumbuh\VB",,
1555,89\CD persen\CD,,
,menjadi\VB,,
1556,Rp\SYM 7\CD triliun\CD,,
,di\IN,,
1557,tahun\NN 2006\CD,,
,",\Z",,
1558,margin\NN bunga\NN bersih\JJ,,
1559,net\FW interest\FW margin\FW,,
1560,bank\NN,,
,meningkat\VB menjadi\VB,,
1561,"5,1\CD persen\CD",,
,di\IN,,
1562,tahun\NN 2006\CD,,
,dari\IN,,
1563,"4,1\CD persen\CD",,
,di\IN,,
1564,2005\CD,,
,.\Z,,
,Sementara\SC,,
1565,itu\PR,,
,",\Z",,
1566,pendapatan\NN bukan\NEG bunga\NN,,
,yang\SC lebih\RB tinggi\JJ berasal\VB dari\IN,,
1567,penjualan\NN obligasi\NN pemerintah\NN,,
,di\IN,,
1568,2006\CD,,
,.\Z,,
,Walaupun\SC,,
1569,biaya-biaya\NN operasi\NN,,
,"meningkat\VB ,\Z tetapi\CC masih\MD bisa\MD dikontrol\VB di\IN",,
1570,kisaran\NN 3\CD persen\CD,,
,dari\IN,,
1571,rata-rata\NN aset\NN,,
,.\Z,,
,Secara\IN,,
1572,keseluruhan\NN,,
,",\Z lanjut\VB",,
1573,Fitch\NNP,,
,",\Z",,
1574,Panin\NNP,,
,membukukan\VB,,
1575,profitabilitas\NN yang\SC lebih\RB baik\JJ,,
,dengan\SC,,
1576,rasio\NN pendapatan\NN,,
,terhadap\IN,,
1577,aset\NN,,
1578,ROA\FW,,
1579,provisi\NN,,
1580,"3,2\CD persen\CD",,
1581,tahun\NN 2006\CD,,
,dibandingkan\VB dengan\IN,,
1582,"2,2\CD persen\CD",,
,di\IN,,
1583,2005\CD,,
,.\Z,,
,Rasio\NN kredit\NN bermasalah\VB Panin\NNP meningkat\VB ke\IN,,
1584,"9,3\CD persen\CD",,
,di\IN,,
1585,akhir\NN 2005\CD,,
,yang\SC,,
1586,sebagian\CD,,
,disebabkan\VB oleh\IN implementasi\NN,,
1587,regulasi\NN penggolongan\NN kredit\NN,,
,yang\SC lebih\RB ketat\JJ dan\CC juga\RB karena\IN,,
1588,kondisi\NN makroekonomi\NN,,
,yang\SC kurang\RB menguntungkan\VB termasuk\VB,,
1589,kenaikan\NN harga\NN bahan_bakar\NN,,
,dan\CC kemudian\CC,,
1590,tingkat\NN suku\NN bunga\NN,,
,yang\SC meningkat\VB sejak\IN,,
1591,2005\CD,,
,.\Z,,
,Namun\CC,,
1592,demikian\PR,,
,",\Z rasio\NN kredit\NN bermasalah\VB kemudian\RB turun\VB ke\IN",,
1593,"8,0\CD persen\CD",,
,di\IN,,
1594,akhir\NN 2006\CD,,
,meskipun\SC jumlah\NN absolut\JJ,,
1595,nya\PRP,,
,lebih\RB tinggi\JJ,,
1596,8\CD persen\CD,,
,dari\IN,,
1597,akhir\NN 2005\CD,,
,menjadi\VB,,
1598,"Rp\SYM 1,5\CD triliun\CD",,
,.\Z,,
1599,Sekitar\IN 83\CD persen\CD,,
,dari\IN kredit\NN bermasalah\VB di\IN,,
1600,akhir\NN tahun\NN 2006\CD,,
,digolongkan\VB sebagai\IN,,
1601,kredit\NN korporasi\NN,,
,",\Z termasuk\VB di\IN dalam\NN",,
1602,nya\PRP,,
1603,beberapa\CD,,
1604,masa\NN krisis\JJ keuangan\NN,,
,Asia\NNP .\Z,,
,Sedangkan\CC sisa\NN,,
1605,nya\PRP,,
1606,sebesar\JJ 17\CD persen\CD,,
1607,konsumsi\NN,,
,",\Z yang\SC walaupun\SC meningkat\VB di\IN",,
1608,2006\CD,,
,tetapi\CC dari\IN,,
1609,basis\NN yang\SC rendah\JJ,,
,",\Z dengan\SC rasio\NN kredit\NN bermasalah\VB dari\IN",,
1610,kedua\CD segmen\NN tersebut\PR,,
,meningkat\VB menjadi\VB,,
1611,"2,1\CD persen\CD",,
,di\IN,,
1612,akhir\NN tahun\NN 2006\CD,,
,dari\IN,,
1613,"1,7\CD persen\CD",,
,di\IN,,
1614,akhir\NN 2005\CD,,
,.\Z,,
,Restrukturisasi\NN kredit\NN bermasalah\VB yang\SC sedang\MD dilakukan\VB terutama\JJ untuk\IN,,
1615,beberapa\CD,,
1616,kredit\NN korporasi\NN,,
1617,nya\PRP,,
,besar\JJ dan\CC,,
1618,ekspektasi\NN ekonomi\NN,,
,yang\SC lebih\RB baik\JJ diharapkan\VB akan\MD membantu\VB memperbaiki\VB,,
1619,kualitas\NN kredit\NN,,
,Panin\NNP di\IN,,
1620,tahun\NN ini\PR,,
,.\Z,,
1621,Pencadangan\NN,,
,untuk\IN kredit\NN bermasalah\VB,,
1622,"sebesar\JJ 82,3\CD persen\CD",,
,di\IN,,
1623,akhir\NN tahun\NN 2006\CD,,
,",\Z lebih\RB rendah\JJ dari\IN",,
1624,111\CD persen\CD,,
,di\IN,,
1625,akhir\NN 2004\CD,,
,",\Z tetapi\CC lebih\RB tinggi\JJ dibandingkan\VB rata-rata\NN",,
1626,bank\NN sekelas\NN,,
1627,peer\FW,,
1628,antara\IN 60\CD -\Z 70\CD persen\CD,,
,.\Z,,
,Dalam\IN,,
1629,pengertian\NN Fitch\NNP,,
,",\Z",,
1630,pinjaman\NN,,
,dengan\IN,,
1631,jaminan\NN,,
,merupakan\VB,,
1632,porsi\NN mayoritas\NN,,
,dari\IN,,
1633,total\NN kredit\NN bank\NN,,
,di\IN,,
1634,akhir\NN tahun\NN 2006\CD,,
,.\Z,,
1635,Permodalan\NN Panin\NNP,,
,adalah\VB kuat\JJ dengan\SC,,
1636,CAR\FW,,
,total\NN,,
1637,"29,5\CD persen\CD",,
,pada\IN,,
1638,akhir\NN tahun\NN 2006\CD,,
1639,Tier\FW,,
1640,"21,8\CD persen\CD",,
,",\Z di\IN atas\NN",,
1641,rata-rata\NN industri\NN,,
,yang\SC,,
1642,"sebesar\JJ 20,5\CD persen\CD",,
,.\Z,,
,Meskipun\SC,,
1643,rasio\NN ini\PR,,
,mungkin\MD turun\VB,,
1644,sejalan\NN,,
,dengan\IN,,
1645,ekspansi_kredit\NN,,
,",\Z yang\SC ditargetkan\VB",,
1646,sebesar\JJ 25\CD persen\CD,,
,di\IN,,
1647,2007\CD,,
